OriginalColumnName,ModifiedColumnName,AnswerType,Position
Response ID,Response_ID,Not Answer,All
What year were you born?  ,DOB,Fact,All
What is your gender?  ,Gender,Fact,All
"How long have you been in your current job?  If you have more than one job, please answer all questions for your main job.  ",Experience,Fact,All
Which of the following best describes your industry?  ,Industry,Fact,All
Which of the following best describes your current occupation?  ,Occupation,Fact,All
How many people are currently employed by your organisation?   ,Employees_No,Fact,All
Which of the following best describes your household?  ,Household,Fact,All
Metro or Regional,Area,Fact,All
"Thinking about your current job, how much of your work time did you spend working remotely in the last quarter of last year?   This means October-December 2020  If you work a 5 day week, each day of remote working equals 20% of your time.  ",Q4_Actual_Work_Time_Remotely,Actual,Employee
"How much of your work time would you have preferred to work remotely during the last quarter of last year?   This means October-December 2020  If you work a 5 day week, each day of remote working equals 20% of your time.  ",Q4_Preferred_Work_Time_Remotely,Preferral,Employee
"Thinking about your current job, how much of your work time have you spent working remotely this year?  If you work a 5 day week, each day of remote working equals 20% of your time.  ",This_Year_Actual_Work_Time_Remotely,Actual,Employee
"How much of your work time would you have preferred to work remotely so far this year?  If you work a 5 day week, each day of remote working equals 20% of your time.  ",This_Year_Preferred_Work_Time_Remotely,Preferral,Employee
"Imagine that COVID-19 is cured or eradicated.   Going forward, how much of your work time would you prefer to work remotely?  If you work a 5 day week, each day of remote working equals 20% of your time.  ",Always_Preferred_Work_Time_Remotely,Preferral,Employee
These questions are about the remote working arrangements in your organisation.  Has your employer changed or updated their policy on remote work since COVID-19?   This means since February/March 2020  ,Has_Remote_Work_Policy_Changed,Actual,Employee
"In the past 6 months, have you ever worked part of your day remotely, and part of it at your employer’s workplace?",Past_6Months_Has_Worked_Hybrid_Daily,Actual,Employee
How often do you work this way?  ,Actual_Work_Hybrid_Daily,Actual,Employee
How often would you like to work this way?  ,Preferred_Work_Hybrid_Daily,Actual,Employee
Does your employer have a policy that workers must be at the employer’s workplace some of the time?  ,Has_Employer_Workplace_Time_Policy,Actual,Employee
"How much of your work time does your employer’s policy require you to be at their workplace?  If you work a 5 day week, 1 day equals 20% of your work time.  ",Employer_Workplace_Policy_Time,Actual,Employee
"Thinking about your employer’s policy on remote working, how strongly do you agree or disagree with the following statements?   Please select a single response per row   - My employer’s remote working policy suits me",Has_AgreedTo_Like_Employer_Remote_Work_Policy ,Opinion,Employee
"Thinking about your employer’s policy on remote working, how strongly do you agree or disagree with the following statements?   Please select a single response per row   - I get to choose how much work I do remotely",Has_AgreedTo_Choose_Remote_Work_Hours ,Opinion,Employee
"Thinking about your employer’s policy on remote working, how strongly do you agree or disagree with the following statements?   Please select a single response per row   - I choose which days I work remotely",Has_AgreedTo_Choose_Remote_Work_Days ,Opinion,Employee
"Thinking about your employer’s policy on remote working, how strongly do you agree or disagree with the following statements?   Please select a single response per row   - My direct manager has discretion to allow or deny remote work",Has_AgreedTo_Manager_Direct_Remote_Work,Opinion,Employee
How do you feel about your employer’s remote working policy?  ,Employer_Remote_Work_Policy_Feeling ,Opinion,Employee
"Thinking about remote working in the last 6 months, how strongly do you agree or disagree with the following statements?   Please select a single response per row   - My organisation encouraged people to work remotely",Last_6Months_Has_AgreedTo_Org_Encouraged_Remote_Work ,Opinion,Employee
"Thinking about remote working in the last 6 months, how strongly do you agree or disagree with the following statements?   Please select a single response per row   - My organisation was well prepared for me to work remotely",Last_6Months_Has_AgreedTo_Org_Prepared_Remote_Work,Opinion,Employee
"Thinking about remote working in the last 6 months, how strongly do you agree or disagree with the following statements?   Please select a single response per row   - It was common for people in my organisation to work remotely",Last_6Months_Has_AgreedTo_Employees_UsedTo_Remote_Work,Opinion,Employee
"Thinking about remote working in the last 6 months, how strongly do you agree or disagree with the following statements?   Please select a single response per row   - It was easy to get permission to work remotely",Last_6Months_Has_AgreedTo_Get_Easy_Permission_Remote_Work,Opinion,Employee
"Thinking about remote working in the last 6 months, how strongly do you agree or disagree with the following statements?   Please select a single response per row   - I could easily collaborate with colleagues when working remotely",Last_6Months_Has_AgreedTo_Colleagues_Easyily_Collaborated_Remote_Work,Opinion,Employee
"Thinking about remote working in the last 6 months, how strongly do you agree or disagree with the following statements?   Please select a single response per row   - Working remotely reduces my chances of promotion",Last_6Months_Has_AgreedTo_Remote_Work_Reduces_Promotion_Chances,Opinion,Employee
"Thinking about remote working in the last 6 months, how strongly do you agree or disagree with the following statements?   Please select a single response per row   - I take more regular breaks while working remotely",Last_6Months_Has_AgreedTo_More_Breaks_Remote_Work,Opinion,Employee
Do you think remote working is a positive or a negative for your employer?  ,Has_Remote_work_Affect_Employer,Opinion,Employee
Who is most supportive of remote working in your organisation?  ,Remote_Work_Most_Supportive,Opinion,Employee
Imagine that COVID-19 is cured or eradicated.    How likely would you consider the following statements?   - My employer would encourage more remote working,Would_Employer_Encourage_Remote_Work,Expectation,Employee
Imagine that COVID-19 is cured or eradicated.    How likely would you consider the following statements?   - My employer would make changes to support remote working,Would_Employer_Support_Remote_Work,Expectation,Employee
Imagine that COVID-19 is cured or eradicated.    How likely would you consider the following statements?   - I would have more choice about whether I work remotely,Would_Choose_Remote_Work,Expectation,Employee
"Think about your experience this year. On a day when you attend your employer's workplace, how many hours would you spend doing the following activities?   For example, a response of ‘1’ means 1 hour.  A response of ‘0.5’ means half an hour.   Your responses should add to 24 hours.   - Preparing for work and commuting",This_Year_PrepareForWorkAndCommuting_At_Workplace_Hours,Opinion,Employee
"Think about your experience this year. On a day when you attend your employer's workplace, how many hours would you spend doing the following activities?   For example, a response of ‘1’ means 1 hour.  A response of ‘0.5’ means half an hour.   Your responses should add to 24 hours.   - Working",This_Year_Work_At_Workplace_Hours,Opinion,Employee
"Think about your experience this year. On a day when you attend your employer's workplace, how many hours would you spend doing the following activities?   For example, a response of ‘1’ means 1 hour.  A response of ‘0.5’ means half an hour.   Your responses should add to 24 hours.   - Caring and domestic responsibilities",This_Year_CaringAndResponsibilities_At_Workplace_Hours,Opinion,Employee
"Think about your experience this year. On a day when you attend your employer's workplace, how many hours would you spend doing the following activities?   For example, a response of ‘1’ means 1 hour.  A response of ‘0.5’ means half an hour.   Your responses should add to 24 hours.   - Personal and family time",This_Year_PersonalAndFamilyTime_At_Workplace_Hours,Opinion,Employee
"Think about your experience this year. On a day when you attend your employer's workplace, how many hours would you spend doing the following activities?   For example, a response of ‘1’ means 1 hour.  A response of ‘0.5’ means half an hour.   Your responses should add to 24 hours.   - Sleep",This_Year_Sleep_At_Workplace_Hours,Opinion,Employee
